name,population,longitude,latitude
Razorback,1089,150.65308,-34.15237
Beeliar,7293,115.80637,-32.13339
King Creek,1533,152.75658,-31.49237
St Andrews,5688,150.82958,-34.02243
Bundall,4424,153.40479,-28.01111
Watson,5849,149.15271,-35.23815
Cabramatta,21634,150.93446,-33.89743
Cecil Hills,6924,150.85137,-33.88917
Hebersham,5660,150.82385,-33.74582
Kensington Grove,1700,152.47205,-27.53278
Eastlakes,6884,151.21214,-33.93196
Rosslea,1828,146.79824,-19.29871
Castletown,3901,121.91563,-33.83237
Lockridge,3390,115.95031,-31.88168
Bentley Park,7890,145.73819,-17.00389
Saratoga,3829,151.35207,-33.47564
Wyoming,9927,151.36254,-33.40387
Park Avenue,5001,150.5189,-23.35327
Earlville,4171,145.73308,-16.95078
Brookwater,2119,152.89669,-27.66128
Highvale,1726,152.80195,-27.37227
Robina,23140,153.39329,-28.07071
The Gemfields,1917,147.79679,-23.53014
Woodend,1279,152.75307,-27.60554
Middle Park,4028,144.96201,-37.85116
Wurtulla,5852,153.12805,-26.75648
Fulham Gardens,6056,138.51324,-34.91483
Winston,1125,139.49913,-20.70374
Tuart Hill,6880,115.83495,-31.89808
Thornlie,23665,115.955,-32.06003
Deakin,2940,149.10308,-35.31927
Hackett,2892,149.16352,-35.24948
Richardson,2956,149.11377,-35.42787
Regents Park,10943,153.04165,-27.67664
Waterford,2263,115.88662,-32.01574
Jane Brook,3386,116.05039,-31.86368
Patterson Lakes,7793,145.14327,-38.06934
Lammermoor,2066,150.76079,-23.16076
Whyalla Playford,2516,137.56196,-33.02788
Blacksmiths,1826,151.65533,-33.07167
Meridan Plains,3688,153.06187,-26.77351
Christies Beach,5404,138.47232,-35.13876
Mansfield,8588,153.09895,-27.53929
Yeerongpilly,1892,153.00935,-27.53097
Fairfield,6452,145.01764,-37.77977
Heidelberg Heights,6010,145.05695,-37.74313
Warranwood,4700,145.24728,-37.77555
Belfield,6295,151.08467,-33.90354
Beverley Park,2430,151.13437,-33.97707
Colebee,1929,150.84743,-33.72769
Newington,5741,151.05703,-33.83488
Woodville North,2422,138.54309,-34.872
Mount Nathan,1172,153.27198,-27.9643
Caloundra West,6190,153.10894,-26.80634
Lake Wendouree,2935,143.8473,-37.54993
South Albury,1469,146.90905,-36.08654
Garden Island,1588,115.69505,-32.24264
Katherine East,3242,132.28556,-14.46597
West Gladstone,4686,151.2453,-23.86123
Trinity Park,3052,145.70549,-16.80684
Finström,2412,19.93333,60.26667
Zardob,10612,47.71214,40.2184
Göyçay,35348,47.74219,40.65055
Heydarabad,0,44.84846,39.72286
Turbe,4767,17.57499,44.24352
Radišići,4072,17.54056,43.22302
Prozor,10349,17.60917,43.82222
Posušje,0,17.32621,43.47281
Podhum,5801,16.99887,43.72295
Oštra Luka,0,16.66069,44.86027
Marićka,3707,16.8551,44.86801
Mahala,5062,18.25528,44.01194
Laktaši,6464,17.30135,44.90857
Kiseljak,8475,18.08132,43.94295
Čelinac,0,17.31881,44.73998
Gradiška,13346,17.25453,45.14484
Dobratići,0,17.41426,44.37792
Podbrdo,4028,17.01495,44.44189
Sherpur,107419,90.01751,25.01881
Watervliet,1710,3.62598,51.27494
Ville-sur-Haine,1888,4.06425,50.47657
Vellereille-les-Brayeux,1090,4.15112,50.37952
Veldwezelt,3859,5.63101,50.86805
Trooz,7559,5.69521,50.57026
Tihange,3140,5.26176,50.52974
Sint-Antonius,5000,4.63861,51.26667
Sint-Amandsberg,32115,3.74943,51.05947
Saint-Denis,1354,4.78278,50.53567
Ruisbroek,4860,4.33127,51.08832
Romsée,4270,5.66457,50.61091
